Month,Seasonality,MarketTrends,Temperature,CompetitorPrices,Demand
11,-0.5000000000000004,-0.558606634372718,21.826878910055687,75.86885118238166,412.04337617156716
1,0.49999999999999994,0.5250689138914968,18.698719851005386,115.12172737291947,446.3840680549356
6,1.2246467991473532e-16,0.038255724538119415,14.02347604829722,118.63084710856674,450.03836704924373
6,1.2246467991473532e-16,-0.01020714175377248,19.773865819552615,107.06833166621881,427.4451222338544
10,-0.8660254037844386,-0.9560292274167,21.257482509096093,67.91035049717894,374.48585451358383
4,0.8660254037844387,0.7760393542251945,20.464341953471592,145.2009429743127,486.72831536922814
10,-0.8660254037844386,-0.9030984644855163,19.383957572684384,42.26300497157665,324.60026247550616
5,0.49999999999999994,0.561475131788689,18.84986882306108,137.92944379523001,481.9592215573924
6,1.2246467991473532e-16,-0.08862006672735877,21.181722976110635,88.0589002276579,427.31916117138
6,1.2246467991473532e-16,0.029490014222455296,19.78957814935846,109.56439127738022,457.0087085313307
11,-0.5000000000000004,-0.4677413973766109,24.574032576822095,83.0658502083365,396.7948888660983
9,-1.0,-1.0552809339680969,22.882173732831525,39.74397573487164,381.03945641069697
9,-1.0,-0.9840748948291442,21.196518844798092,55.128605643900606,354.72276137372177
7,-0.4999999999999997,-0.5038943605469007,23.1848167528898,83.82944370529124,404.52967063177226
5,0.49999999999999994,0.4534881745920031,24.617292813336555,125.22878093661687,458.40832624357125
12,-2.4492935982947064e-16,-0.042542179532665904,16.99164661409158,115.35959328857143,443.3737632825776
9,-1.0,-1.0908823819919131,29.641871623922825,43.66536723882668,377.92267991169155
4,0.8660254037844387,0.9015054485138628,27.130789276366862,133.57988425020727,501.6641252125572
7,-0.4999999999999997,-0.5555968898936471,24.882558889071234,76.3245519106824,416.506265951388
6,1.2246467991473532e-16,-0.029542762646538854,10.733160412869932,98.05958349410392,401.3696217136942
2,0.8660254037844386,0.8058769591070143,11.120204772393151,127.10308626935898,413.3759105497026
7,-0.4999999999999997,-0.4147772358446792,10.211830814875055,65.3878244404236,347.508941602307
12,-2.4492935982947064e-16,-0.03505005577586449,14.532359265264265,99.29919577907245,416.516242539047
10,-0.8660254037844386,-0.9070432934186615,17.239326561046575,60.230635442464134,359.96207180002676
6,1.2246467991473532e-16,0.027151021576887074,29.448414376450387,100.0670717767018,436.42506320313106
5,0.49999999999999994,0.4283940233829597,27.56317127645782,110.96312322105905,491.7093702119077
4,0.8660254037844387,0.8570950150509707,27.856303639969084,141.84076628439453,525.9860219280364
7,-0.4999999999999997,-0.4284039380057625,27.16280969367418,72.1003938001866,410.7559522812147
9,-1.0,-0.9897889218459321,14.54437112006724,50.05083534391829,306.7344326251962
11,-0.5000000000000004,-0.4837427993454063,17.66558392394799,65.45099717930673,379.6029689187233
11,-0.5000000000000004,-0.5515333129883163,20.49082583719252,101.47376773065284,433.87914382004897
4,0.8660254037844387,0.7726796928807895,24.443980800492206,162.36876755708022,564.5189676220036
4,0.8660254037844387,0.9404445021185804,15.815060942549126,137.96469510633565,461.61965762351423
8,-0.8660254037844385,-0.9046080121087253,12.385268573657397,49.382094412569934,324.6840947181448
12,-2.4492935982947064e-16,0.06673251344039924,19.98057533607342,94.7310864897449,417.0422968526536
8,-0.8660254037844385,-0.9309030778192585,29.85030160954853,52.56533629425837,370.0553614835468
1,0.49999999999999994,0.48690642956266483,20.815035200686456,131.13000459067538,485.7293243783689
11,-0.5000000000000004,-0.44631101228585934,14.199496294044419,77.82343079260625,355.4077368796324
2,0.8660254037844386,0.7941112659220843,13.670928317232974,148.36843543571254,502.04138779806783
11,-0.5000000000000004,-0.5680650921574031,22.47600679136717,61.46471868064378,397.98409975963443
